gene	reference_source
SUN5	ClinVar,ClinVar_high_confidence,HPO
SYCE1	ClinVar,HPO
SYCP2	ClinVar,HPO
SYCP3	ClinVar,HPO,Literature_review
TAC3	HPO
TAF4B	ClinVar,HPO
TDRD1	Literature_review
TDRD5	Literature_review
TDRD9	ClinVar,HPO,Literature_review
TEKT3	ClinVar,HPO
TERB1	ClinVar,HPO
TERB2	ClinVar,HPO
TEX101	Literature_review
TEX11	ClinVar,HPO,Literature_review
TEX14	ClinVar,HPO,Literature_review
TEX15	ClinVar,ClinVar_high_confidence,HPO,Literature_review
TGFB1	HPO
TNP1	Literature_review
TNP2	Literature_review
TSGA10	ClinVar,HPO
TTC12	ClinVar,HPO
TTC21A	ClinVar,HPO
TTC29	ClinVar,HPO
TXNRD2	HPO
UBE2T	HPO
USP9Y	ClinVar,HPO
VAMP7	HPO
WDR11	HPO
WDR19	ClinVar,ClinVar_high_confidence,HPO
WFS1	HPO
WT1	ClinVar,HPO
XRCC2	HPO
ZMYND10	HPO
ZMYND15	ClinVar,HPO
ZPBP	ClinVar,HPO
ZSWIM7	ClinVar,ClinVar_high_confidence,HPO
